Series Name,"Country Name","2015_l"
"Life expectancy at birth, total (years)","Arab World","70.7582222288211"
"Life expectancy at birth, total (years)","Caribbean small states","72.660938484734"
"Life expectancy at birth, total (years)","Central Europe and the Baltics","76.5718777647788"
"Life expectancy at birth, total (years)","Early-demographic dividend","69.8742623697907"
"Life expectancy at birth, total (years)","East Asia & Pacific","75.9488318410236"
"Life expectancy at birth, total (years)","East Asia & Pacific (excluding high income)","75.1233074764099"
"Life expectancy at birth, total (years)","East Asia & Pacific (IDA & IBRD countries)","75.152494055672"
"Life expectancy at birth, total (years)","Euro area","81.5712888246472"
"Life expectancy at birth, total (years)","Europe & Central Asia","77.2313232302049"
"Life expectancy at birth, total (years)","Europe & Central Asia (excluding high income)","72.5877307625611"
"Life expectancy at birth, total (years)","Europe & Central Asia (IDA & IBRD countries)","73.1398854461593"
"Life expectancy at birth, total (years)","European Union","80.5684394242096"
"Life expectancy at birth, total (years)","Fragile and conflict affected situations","61.0120470695535"
"Life expectancy at birth, total (years)","Heavily indebted poor countries (HIPC)","61.6125477293904"
"Life expectancy at birth, total (years)","High income","80.4941490273611"
"Life expectancy at birth, total (years)","IBRD only","73.1587659186947"
"Life expectancy at birth, total (years)","IDA & IBRD total","70.5246983083034"
"Life expectancy at birth, total (years)","IDA blend","60.359095556174"
"Life expectancy at birth, total (years)","IDA only","63.7302292038573"
"Life expectancy at birth, total (years)","IDA total","62.5875892742434"
"Life expectancy at birth, total (years)","Late-demographic dividend","76.0131449870926"
"Life expectancy at birth, total (years)","Latin America & Caribbean","74.6129454814571"
"Life expectancy at birth, total (years)","Latin America & Caribbean (excluding high income)","74.4645177378967"
"Life expectancy at birth, total (years)","Latin America & the Caribbean (IDA & IBRD countries)","74.5221315189348"
"Life expectancy at birth, total (years)","Least developed countries: UN classification","63.4957831265039"
"Life expectancy at birth, total (years)","Low & middle income","70.4401346229753"
"Life expectancy at birth, total (years)","Low income","61.6184771279014"
"Life expectancy at birth, total (years)","Lower middle income","68.2001551147756"
"Life expectancy at birth, total (years)","Middle East & North Africa","72.8895160840123"
"Life expectancy at birth, total (years)","Middle East & North Africa (excluding high income)","71.9861891242774"
"Life expectancy at birth, total (years)","Middle East & North Africa (IDA & IBRD countries)","71.9585514664059"
"Life expectancy at birth, total (years)","Middle income","71.4093594080205"
"Life expectancy at birth, total (years)","North America","79.012114325868"
"Life expectancy at birth, total (years)","Not classified",".."
"Life expectancy at birth, total (years)","OECD members","79.792488798745"
"Life expectancy at birth, total (years)","Other small states","67.2887714569841"
"Life expectancy at birth, total (years)","Pacific island small states","68.6915548807775"
"Life expectancy at birth, total (years)","Post-demographic dividend","80.3841180149541"
"Life expectancy at birth, total (years)","Pre-demographic dividend","59.1193712621413"
"Life expectancy at birth, total (years)","Small states","68.3510733572772"
"Life expectancy at birth, total (years)","South Asia","69.1425888809621"
"Life expectancy at birth, total (years)","South Asia (IDA & IBRD)","69.1425888809621"
"Life expectancy at birth, total (years)","Sub-Saharan Africa","59.5629776824937"
"Life expectancy at birth, total (years)","Sub-Saharan Africa (excluding high income)","59.5616131621504"
"Life expectancy at birth, total (years)","Sub-Saharan Africa (IDA & IBRD countries)","59.5629776824937"
"Life expectancy at birth, total (years)","Upper middle income","75.5702204534482"
"Life expectancy at birth, total (years)","World","72.0955006895748"
,"",""
,"",""
,"",""
Data from database: World Development Indicators,"",""
Last Updated: 03/01/2023,"",""
